,tweets,
205,"In this @NPR article @mays_kyle, @MelaninMvskoke, @_joyscm and Autumn Rose Williams, are Young, Black Native activi… https://t.co/mxPpCtfPYy",positive
206,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
207,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
208,Kyle Rittenhouse believes so hard in the anti-#BlackLivesMatter flag he traversed state lines to argue. With a gun.… https://t.co/SKPwgSs7oh,negative
209,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
210,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
211,"RT @theskindoctor13: This is world's loss, not India's. Everyone knew our team had reach, stardom, money and activists-par-excellence who c…",neutral
212,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,negative
213,"Biden Harris 2020 Election T-Shirt #blacklivesmatter #democrat
https://t.co/6m7WMa3R0T https://t.co/fbD2zeYJgB",positive
214,RT @LizDeepJones: “I want the ⁦@UN⁩ to say to our racist government that #BlackLivesMatter And tell the world that my son David’s life matt…,negative
215,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,negative
216,RT @LizDeepJones: “I want the ⁦@UN⁩ to say to our racist government that #BlackLivesMatter And tell the world that my son David’s life matt…,negative
217,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",positive
218,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",neutral
219,#KierraColes is still missing #Chicago #illinois #missing #BlackLivesMatter https://t.co/viCNfw0tGp,negative
220,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
221,"Book is out...
#lockdownsa #author #writer #artist #bookworm #bookstagram  #writers #writerslife #quotestoliveby… https://t.co/dbpByjab67",positive
222,"RT @MendacityAbout: #TheBeat RT WFRW WashingtonSRC WAPolicyGreen WashingtonCOG OlympiaWatch SenJohnKennedy 
""I don't mean any disrespect,bu…",neutral
223,"RT @MendacityAbout: #TheBeat RT WFRW WashingtonSRC WAPolicyGreen WashingtonCOG OlympiaWatch SenJohnKennedy 
""I don't mean any disrespect,bu…",positive
224,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,negative
225,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…",negative
226,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,negative
227,"Wed Sep 23 2020 Louisville, Kentucky - Police hold bound protester in the air while searching them WATCH:… https://t.co/c8iXipSZOv",positive
228,It's an epidemic of state killing. Enough! #BlackLivesMatter https://t.co/Xp2xg09l8Y,neutral
229,"RT @SaraVenard: Palestinian lion Free Palestine  T-Shirt
Price: $13.07 &amp; FREE Returns
https://t.co/LVXIJGOGCH

#Free_Palestine #Palestinian…",neutral
230,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",neutral
231,"RT @SaraVenard: Free palestine, Palestinian lion Pullover Hoodie

https://t.co/Xo48KGcdex

#Free_Palestine #PalestinianLivesMatter #Palesti…",positive
232,"RT @TammyPax_MP: Diane, I’ve heard the government are suppressing the data to hide a huge rise in the number of ethnics involved in shootin…",positive
233,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,positive
234,#CurbFest #FreePoliticalPrisoners #PoliticalPrisoners #FreeThemAll #Abolition #Abolition #BlackLiberation… https://t.co/5K6TmMf8os,neutral
235,"My true passion. 
#lockdownsa #author #writer #artist #bookworm #bookstagram  #writers #writerslife… https://t.co/GnSMpSarOu",neutral
236,RT @NewLifeHealthW1: Rehab is a must - our magic is not a one time thing💫 #DestinationFear #BlackLivesMatter #BlackOwnedBusiness https://t.…,positive
237,RT @NewLifeHealthW1: Rehab is a must - our magic is not a one time thing💫 #DestinationFear #BlackLivesMatter #BlackOwnedBusiness https://t.…,negative
238,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,neutral
239,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
240,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,positive
241,@funder This is what domestic terrorist means @funder you know damn well #BlackLivesMatter did this and destroy his… https://t.co/wHCjF7iZjE,negative
242,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",negative
243,Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl… https://t.co/WbiOTsY0d2,neutral
244,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,negative
245,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,negative
246,RT @BotDefund: Defund the Oakdale Police #BlackLivesMatter,positive
247,Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Austra… https://t.co/zEyUu8ub8X,positive
248,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…",neutral
249,"Ben in Oakville Canada knows that Black History is more than just a month
https://t.co/977g54GMc1 #black… https://t.co/BWgiOxtsYP",negative
250,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",positive
251,RT @james59975431: @aginnt Careful @NewZelandTW because your white they say it’s an insurrection when yet I’m sure that your government let…,neutral
252,RT @james59975431: @aginnt Careful @NewZelandTW because your white they say it’s an insurrection when yet I’m sure that your government let…,positive
253,@BrianEntin @Davidsc09121773 #BlackLivesMatter due to the crowd #LiveNation and the city didn’t care because it was primarily black youth,neutral
254,"RT @theskindoctor13: This is world's loss, not India's. Everyone knew our team had reach, stardom, money and activists-par-excellence who c…",neutral
255,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",negative
256,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",negative
257,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",neutral
258,RT @LizDeepJones: “I want the ⁦@UN⁩ to say to our racist government that #BlackLivesMatter And tell the world that my son David’s life matt…,negative
259,RT @al_kaeda_4ll: smokin deceased 8 white mfs that became deceased at travis scott show pack dog #BlackLivesMatter,negative
260,“I want the ⁦@UN⁩ to say to our racist government that #BlackLivesMatter And tell the world that my son David’s lif… https://t.co/wCOeWN1NQf,positive
261,"RT @TammyPax_MP: Diane, I’ve heard the government are suppressing the data to hide a huge rise in the number of ethnics involved in shootin…",negative
262,"Text ""black"" to 310 272 5438 to download the app
 #blacktwitter #BlackLivesMatter #melanin #blackempowerment https://t.co/NbuiaVuGdR",positive
263,"RT @daddlaii: 🖤👯‍♀️Playboy👯‍♀️🖤
         {season:1 episode:3}
#lovestory #player #cheater #threadstorytime #threadseries #threadstories #Bl…",positive
264,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",positive
265,"RT @daddlaii: 🖤👯‍♀️Playboy👯‍♀️🖤
         {season:1 episode:3}
#lovestory #player #cheater #threadstorytime #threadseries #threadstories #Bl…",neutral
266,RT @al_kaeda_4ll: smokin deceased 8 white mfs that became deceased at travis scott show pack dog #BlackLivesMatter,neutral
267,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",neutral
268,@aginnt Careful @NewZelandTW because your white they say it’s an insurrection when yet I’m sure that your governmen… https://t.co/lEKCYWI0fE,neutral
269,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…",neutral
270,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",negative
271,Defund the Oakdale Police #BlackLivesMatter,neutral
272,"#HumanRights #BlackLivesMatter #Elections2021 
Wow... be new do the right thing! #Tesla #USA https://t.co/zTTod4pK8F",positive
273,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",positive
274,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",positive
275,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",neutral
276,RT @CheryleJ0806: @DenbrotS @MikeQuinlan5 🔥🔥🔥They (defendants) are working so hard to criminalize the victim. It is Emmitt Till redux. #Dem…,negative
277,"Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl… https://t.co/YleCNDyGBv",neutral
278,Victor White III #BlackLivesMatter,negative
279,#Pelosi #Maddow #NYC #BlackLivesMatter #berniesanders #Bitcoin #kingjames #CNN #FoxNews #Covid19 #GreenNewDeal… https://t.co/nAYssfwXPS,positive
280,"RT @Quickbase: Quick Base stands with our black employees, black members of our software community and all who are fighting systemic racism…",negative
281,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…",negative
282,"RT @nskakhtar: @RevatiKaattil Poor girl, she would have shouted for #BlackLivesMatter",neutral
283,"RT @DukeLaw: In 𝙴𝚚𝚞𝚊𝚕𝚒𝚝𝚢 𝙼𝚎𝚝𝚛𝚒𝚌𝚜, @ProfFletcher &amp; @VRootMartinez say while corps make public statements supporting #BlackLivesMatter, they…",positive
284,"RT @Gspirithorse: @BG10383375 You bet!😡🤬
#BlackLivesMatter",neutral
285,"RT @Tildys: Patriots Believe #BlackLivesMatter

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now. 

Let…",neutral
286,"Patriots Believe #BlackLivesMatter

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotis… https://t.co/9kb5yvsSPx",neutral
287,notice how with #blacklivesmatter or #Liberals get decades and life and chud #Jan6thCommittee perps are leading gov… https://t.co/r0LQbDAqTA,negative
288,"RT @Two_Cams25: #BlackLivesMatter (2020) thanks to @TheCWSupergirl.

#CWSupergirl #SupergirlCW #SupergirlFinale https://t.co/5DOYQJ0Vuh",neutral
289,"RT @OldMainBell: DING^ ding^ ding* ding, ding? Ding ding ding? DING? #PennState #BlackLivesMatter #JusticeForAll",positive
290,"RT @Two_Cams25: #BlackLivesMatter (2020) thanks to @TheCWSupergirl.

#CWSupergirl #SupergirlCW #SupergirlFinale https://t.co/5DOYQJ0Vuh",positive
291,"Ceasefire Weekend organizers not discouraged by weekend shootings
https://t.co/2Qf4E59j0w
~~~~
#LifeInBmore… https://t.co/K4DdUZhvnO",positive
292,"DING^ ding^ ding* ding, ding? Ding ding ding? DING? #PennState #BlackLivesMatter #JusticeForAll",positive
293,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
294,"#BlackLivesMatter (2020) thanks to @TheCWSupergirl.

#CWSupergirl #SupergirlCW #SupergirlFinale https://t.co/5DOYQJ0Vuh",positive
295,"@BG10383375 You bet!😡🤬
#BlackLivesMatter",positive
296,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",neutral
297,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",positive
298,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",negative
299,"@RevatiKaattil Poor girl, she would have shouted for #BlackLivesMatter",negative
300,"RT @sergeivote: So let me get this straight: Aaron Rodgers can spread misinformation about vaccines, 

But Colin Kaepernick can't speak the…",neutral
301,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
302,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",neutral
303,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",negative
304,"RT @msfoundation: BLACK LIVES MATTER 
BLACK LIVES MATTER 
BLACK LIVES MATTER 
BLACK LIVES MATTER 
BLACK LIVES MATTER 
BLACK LIVES MATTER 
B…",positive
305,"RT @Airnigeria30: I promise you I’m here for the right reasons 💫
_
Premiere Date: October 19, 8pm est. on @BacheloretteABC 
_
#BachelorNati…",positive
306,"RT @AndrewSievers4: Truer words have never been said, Equality in action is needed #BLM #BlackLivesMatter #Progressive #BuildBackBetter #CO…",negative
307,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",negative
308,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",negative
309,RT @Slaypedia: This is a new free live leadership interview workshop that focuses on the toughest interview processes #BlackTechTwitter #bl…,positive
310,RT @zammarhanif: Its disturbingly preposterous how no one talks about Belgian King Leopold who killed a lot more people than Hilter! People…,negative
311,RT @Slaypedia: This is a new free live leadership interview workshop that focuses on the toughest interview processes #BlackTechTwitter #bl…,positive
312,This is a new free live leadership interview workshop that focuses on the toughest interview processes… https://t.co/3hF8fPxQye,neutral
313,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
314,"I'd love to see if there's a version of this for East Precinct response times. 

Something tells me that blue line… https://t.co/vdfsP6KR8Z",neutral
315,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",positive
316,RT @Satellit3Heart: Treasure Hendrix was found dead in officer Charlie Bell's RV. Chicago PD appears to be hindering the investigation via…,neutral
317,"RT @blmphxmetro: BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm #black…",negative
318,"Signing off for the evening and wishing all of you a peaceful nights sleep, Goodnight 💙!
#BlackLivesMatter… https://t.co/cQmp5jsa4Q",neutral
319,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
320,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",positive
321,"RT @blmphxmetro: BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm #black…",positive
322,RT @GibsonBeaver: @DarthApuReborn mr beaver wonders if #BlackLivesMatter in israel,neutral
323,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #Alberta #Ontario #Toronto Wake #science #sciencewins #Australia #Arizona #murder #chil…,neutral
324,"RT @indiigoart: Neighborhood Nip💙🕊 
16”x16” acrylic on canvas 
Prints for sale! 
(On canvas and poster)
HMU💕😌

#acrylicpainting #acrylic #f…",positive
325,RT @RisePDX: @meanbasstard @smithsonian the corrupt state has already covered up its involvement in the situation and how it is linked to a…,positive
326,@meanbasstard @smithsonian the corrupt state has already covered up its involvement in the situation and how it is… https://t.co/upDPzBytyN,negative
327,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",neutral
328,#BlackLivesMatter #NickiMinaj #MAGA #Alberta #Ontario #Toronto Wake #science #sciencewins #Australia #Arizona… https://t.co/JANqZcUt7c,negative
329,@DarthApuReborn mr beaver wonders if #BlackLivesMatter in israel,neutral
330,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",neutral
331,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",neutral
332,"RT @ihaveadreamanna: In practice, Zionism  dehumanizes, delegitimises, and cancels the value,existence, experience, and rights of an entire…",positive
333,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
334,RT @Satellit3Heart: Treasure Hendrix was found dead in officer Charlie Bell's RV. Chicago PD appears to be hindering the investigation via…,neutral
335,Where is #BlackLivesMatter  on this ? Now you know what side there choice 😡 #SOSCuba #CubaEsUnaDictadura https://t.co/5rJ8KbTFTG,neutral
336,"Sat Sep 05 2020 Rochester, New York - Police deploy tear gas and impact munitions WATCH: https://t.co/PlSCL3U2Z9… https://t.co/3YLl6dbN9T",neutral
337,RT @realTadiAbedje: Prosecution Rests Its Case Against Kyle Rittenhouse. @BNCNews #BNC #BNCTV #BlackNewsChannel #KyleRittenhouse #KyleRitte…,positive
338,"RT @ElenaRi71156636: .
RACISM IS LEARNED!!!
#RacismIsLearned

RACIST PANHANDLERS!
#RacistPanhandler s

#NewYorkCity 
#BlackLivesMatter 
#BL…",neutral
339,".
RACISM IS LEARNED!!!
#RacismIsLearned

RACIST PANHANDLERS!
#RacistPanhandler s

#NewYorkCity 
#BlackLivesMatter… https://t.co/Sabxm6WC7j",neutral
340,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",positive
341,"BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm… https://t.co/oBz3JqH89E",neutral
342,"RT @theskindoctor13: This is world's loss, not India's. Everyone knew our team had reach, stardom, money and activists-par-excellence who c…",negative
343,Any white person that got #BlackLivesMatter in their bio is a closet racist imo.,neutral
344,"RT @muffywithlove: A haunting 

#GrowingUpBlack #BlackLivesMatter #blacktober https://t.co/0Nur0RwsBX",negative
345,RT @PlayDubb: Any white person that got #BlackLivesMatter in their bio is a closet racist imo.,neutral
346,"RT @daddlaii: 🖤👯‍♀️Playboy👯‍♀️🖤
         {season:1 episode:3}
#lovestory #player #cheater #threadstorytime #threadseries #threadstories #Bl…",positive
347,"Many ppl want to lie and create hate because their race of ppl are the enslavers of the African race 

NO ORIGINALI… https://t.co/NIAqsLUEDO",positive
348,@nypost She is down bad for taking the life of a fellow black woman and mother #BlackLivesMatter,neutral
349,RT @FirdoseM: A major talking point from this piece is why the national cricket side has been put in focus for their anti-racism gestures a…,neutral
350,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
351,RT @Gether2Come: @RobertRaymond46 Some #BlackLivesMatter,positive
352,"RT @AndrewSievers4: Truer words have never been said, Equality in action is needed #BLM #BlackLivesMatter #Progressive #BuildBackBetter #CO…",negative
353,Quick reminder that #BlackLivesMatter,negative
354,"RT @NavJB: 1/2
UPDATE! No response from @EssexPoliceUK

offence recorded 18/12/20
”welfare check” 21/10/21
PC CHILVER 80333
PC PERKS 80147…",negative
355,"Truer words have never been said, Equality in action is needed #BLM #BlackLivesMatter #Progressive #BuildBackBetter… https://t.co/HBxzFkTBGq",positive
356,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU...
#twitch #smallstreamer #twitchstreamer #twitchaffiliate #BlackLive…",negative
357,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU...
#twitch #smallstreamer #twitchstreamer #twitchaffiliate #BlackLive…",neutral
358,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU...
#twitch #smallstreamer #twitchstreamer #twitchaffiliate #BlackLive…",neutral
359,"#Gamers! Get sick theme #badges for your gaming so HMU...
#twitch #smallstreamer #twitchstreamer #twitchaffiliate… https://t.co/x6YU2Rba40",positive
360,@RobertRaymond46 Some #BlackLivesMatter,positive
361,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",negative
362,RT @FirdoseM: A major talking point from this piece is why the national cricket side has been put in focus for their anti-racism gestures a…,neutral
363,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
364,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",negative
365,Any white person that got #BlackLivesMatter in their bio is a closet racist imo.,negative
366,"RT @muffywithlove: A haunting 

#GrowingUpBlack #BlackLivesMatter #blacktober https://t.co/0Nur0RwsBX",negative
367,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",neutral
368,"RT @ShelbyRatifyERA: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism…",neutral
369,"RT @Tatertot20101: @WatchYourRepsSC Real Patriots want ALL Americans to prosper. 
True Patriots don't want a russian sponsored government.…",neutral
370,"@WatchYourRepsSC Real Patriots want ALL Americans to prosper. 
True Patriots don't want a russian sponsored governm… https://t.co/cRLbNGmfAM",negative
371,@AttorneyCrump Justice never sleeps. And we want Justice served swiftly.✊🏾#BlackLivesMatter,positive
372,"RT @AlexRoslin: ""'It's still a boys' club': Family of former NT police officer plead for more DV awareness following inquest into her death…",neutral
373,"RT @WatchYourRepsSC: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism…",positive
374,yup this is a great story https://t.co/oBJjY9RzkV #blacklivesmatter #rap,positive
375,"RT @WatchYourRepsSC: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism…",negative
376,"Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriot… https://t.co/zBUwvaUQvx",positive
377,I (we) need this.  The preview is heartwarming and more of what we need. ---&gt; Keyboard Fantasies review- Glorious d… https://t.co/MXIA2bfD0D,positive
378,"RT @LordKolli: @coolfunnytshirt @theskindoctor13 Namibians                Namibians
In real life                in cricket team
#IndvsNam…",neutral
379,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",positive
380,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",positive
381,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",negative
382,"RT @TheLivesThatMtr: Say their name. Alexio Allen, 2016-03-23 #BlackLivesMatter.",positive
383,"RT @DeRay_Shawn: ""If you are killed in the process of them telling you to stop resisting, that justifies your death."" Check out Levert Blou…",negative
384,"RT @TammyPax_MP: Diane, I’ve heard the government are suppressing the data to hide a huge rise in the number of ethnics involved in shootin…",neutral
385,"@JGreenbergSez @Judson4Congress 

Who has broken more glass in the last few years, Antifa and Black Lives Matter (a… https://t.co/RWV9ZNRLfd",negative
386,RT @CheryleJ0806: @DenbrotS @MikeQuinlan5 🔥🔥🔥They (defendants) are working so hard to criminalize the victim. It is Emmitt Till redux. #Dem…,neutral
387,"RT @rena_korb: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now.…",negative
388,RT @jessthesavior: “Every nigga is a ⭐️ and I am that nigga” by me #collage #blacklivesmatter https://t.co/8LDNe4uzAA,positive
389,"RT @Ann_Israel_777: https://t.co/MDF1gGt3oM

Leave a comment! Also Like👍🏽, Share ♻️, &amp; Subscribe🛎‼️

#WakeUpSleepyHead #BLM #BlackLivesMatt…",positive
390,"RT @TheLivesThatMtr: Say their name. Alexio Allen, 2016-03-23 #BlackLivesMatter.",negative
391,"Housing complex for Africans in Salisbury, Rhodesia, 1965 #History #Zimbabwe #BlackLivesMatter https://t.co/vhHGphPk5V",positive
392,"Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love… https://t.co/A4uI8j9q7v",positive
393,"RT @rena_korb: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now.…",negative
394,"RT @WatchYourRepsSC: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism…",neutral
395,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",negative
396,RT @OldMainBell: DING ding ding? ding ding ding ding... Ding? #PennState #BlackLivesMatter #JusticeForAll,negative
397,"RT @WatchYourRepsSC: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism…",positive
398,"RT @WatchYourRepsSC: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism…",neutral
399,"RT @TheLivesThatMtr: Say their name. Alexio Allen, 2016-03-23 #BlackLivesMatter.",neutral
400,"RT @Ann_Israel_777: https://t.co/MDF1gGt3oM

Leave a comment! Also Like👍🏽, Share ♻️, &amp; Subscribe🛎‼️

#WakeUpSleepyHead #BLM #BlackLivesMatt…",positive
401,RT @jessthesavior: “Every nigga is a ⭐️ and I am that nigga” by me #collage #blacklivesmatter https://t.co/8LDNe4uzAA,neutral
402,"RT @rena_korb: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now.…",positive
403,DING ding ding? ding ding ding ding... Ding? #PennState #BlackLivesMatter #JusticeForAll,negative
404,"Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriot… https://t.co/inAX2rlYu3",positive
405,"Say their name. Alexio Allen, 2016-03-23 #BlackLivesMatter.",neutral
406,"https://t.co/MDF1gGt3oM

Leave a comment! Also Like👍🏽, Share ♻️, &amp; Subscribe🛎‼️

#WakeUpSleepyHead #BLM… https://t.co/T4eUAOxr6F",negative
407,“Every nigga is a ⭐️ and I am that nigga” by me #collage #blacklivesmatter https://t.co/8LDNe4uzAA,positive
408,"Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriot… https://t.co/NnOZFxLMHq",neutral
